Points of Interest,Lat,Long,Grouping,Value,Ton
I-205 D,45.573623,-122.546959,Agg-XLT2,23.4,105
I-205 D,45.573623,-122.546959,Agg-XMT2,61.1,140
I-205 D,45.573623,-122.546959,Agg-XLT3,23.4,105
I-205 D,45.573623,-122.546959,Agg-XMT3,61.1,140
I-205 D,45.573623,-122.546959,Agg-SLT,23.4,105
I-205 D,45.573623,-122.546959,Agg-SMT,61.1,140
I-205 D,45.573623,-122.546959,Agg-SLT2,23.4,105
I-205 D,45.573623,-122.546959,Agg-SMT2,61.1,140
I-205 D,45.573623,-122.546959,Agg-SLT3,23.4,105
I-205 D,45.573623,-122.546959,Agg-SMT3,61.1,140
I-84 A,45.530358,-122.637141,Agg-LT,45.4,123
I-84 A,45.530358,-122.637141,Agg-MT,67,180
I-84 A,45.530358,-122.637141,Agg-LT2,45.4,123
I-84 A,45.530358,-122.637141,Agg-MT2,67,180
I-84 A,45.530358,-122.637141,Agg-LT3,45.4,123
I-84 A,45.530358,-122.637141,Agg-MT3,67,180
I-84 A,45.530358,-122.637141,Agg-XLT,45.4,123
I-84 A,45.530358,-122.637141,Agg-XMT,67,180
I-84 A,45.530358,-122.637141,Agg-XLT2,45.4,123
I-84 A,45.530358,-122.637141,Agg-XMT2,67,180
I-84 A,45.530358,-122.637141,Agg-XLT3,45.4,123
I-84 A,45.530358,-122.637141,Agg-XMT3,67,180
I-84 A,45.530358,-122.637141,Agg-SLT,45.4,123
I-84 A,45.530358,-122.637141,Agg-SMT,67,180
I-84 A,45.530358,-122.637141,Agg-SLT2,45.4,123
I-84 A,45.530358,-122.637141,Agg-SMT2,67,180
I-84 A,45.530358,-122.637141,Agg-SLT3,45.4,123
I-84 A,45.530358,-122.637141,Agg-SMT3,67,180
I-84 B,45.541952,-122.433454,Agg-LT,45.7,120
I-84 B,45.541952,-122.433454,Agg-MT,67,175
I-84 B,45.541952,-122.433454,Agg-LT2,45.7,120
I-84 B,45.541952,-122.433454,Agg-MT2,67,175
I-84 B,45.541952,-122.433454,Agg-LT3,45.7,120
I-84 B,45.541952,-122.433454,Agg-MT3,67,175
I-84 B,45.541952,-122.433454,Agg-XLT,45.7,120
I-84 B,45.541952,-122.433454,Agg-XMT,67,175
I-84 B,45.541952,-122.433454,Agg-XLT2,45.7,120
I-84 B,45.541952,-122.433454,Agg-XMT2,67,175
I-84 B,45.541952,-122.433454,Agg-XLT3,45.7,120
I-84 B,45.541952,-122.433454,Agg-XMT3,67,175
I-84 B,45.541952,-122.433454,Agg-SLT,45.7,120
I-84 B,45.541952,-122.433454,Agg-SMT,67,175
I-84 B,45.541952,-122.433454,Agg-SLT2,45.7,120
I-84 B,45.541952,-122.433454,Agg-SMT2,67,175
I-84 B,45.541952,-122.433454,Agg-SLT3,45.7,120
I-84 B,45.541952,-122.433454,Agg-SMT3,67,175
I-84 C,45.530358,-122.637141,Agg-LT,45.4,123
I-84 C,45.530358,-122.637141,Agg-MT,67,180
I-84 C,45.530358,-122.637141,Agg-LT2,45.4,123
I-84 C,45.530358,-122.637141,Agg-MT2,67,180
I-84 C,45.530358,-122.637141,Agg-LT3,45.4,123
I-84 C,45.530358,-122.637141,Agg-MT3,67,180
I-84 C,45.530358,-122.637141,Agg-XLT,45.4,123
I-84 C,45.530358,-122.637141,Agg-XMT,67,180
I-84 C,45.530358,-122.637141,Agg-XLT2,45.4,123
I-84 C,45.530358,-122.637141,Agg-XMT2,67,180
I-84 C,45.530358,-122.637141,Agg-XLT3,45.4,123
I-84 C,45.530358,-122.637141,Agg-XMT3,67,180
I-84 C,45.530358,-122.637141,Agg-SLT,45.4,123
I-84 C,45.530358,-122.637141,Agg-SMT,67,180
I-84 C,45.530358,-122.637141,Agg-SLT2,45.4,123
I-84 C,45.530358,-122.637141,Agg-SMT2,67,180
I-84 C,45.530358,-122.637141,Agg-SLT3,45.4,123
I-84 C,45.530358,-122.637141,Agg-SMT3,67,180
I-84 D,45.541952,-122.433454,Agg-LT,45.7,120
I-84 D,45.541952,-122.433454,Agg-MT,67,175
I-84 D,45.541952,-122.433454,Agg-LT2,45.7,120
I-84 D,45.541952,-122.433454,Agg-MT2,67,175
I-84 D,45.541952,-122.433454,Agg-LT3,45.7,120
I-84 D,45.541952,-122.433454,Agg-MT3,67,175
I-84 D,45.541952,-122.433454,Agg-XLT,45.7,120
I-84 D,45.541952,-122.433454,Agg-XMT,67,175
I-84 D,45.541952,-122.433454,Agg-XLT2,45.7,120
I-84 D,45.541952,-122.433454,Agg-XMT2,67,175
I-84 D,45.541952,-122.433454,Agg-XLT3,45.7,120
I-84 D,45.541952,-122.433454,Agg-XMT3,67,175
I-84 D,45.541952,-122.433454,Agg-SLT,45.7,120
I-84 D,45.541952,-122.433454,Agg-SMT,67,175
I-84 D,45.541952,-122.433454,Agg-SLT2,45.7,120
I-84 D,45.541952,-122.433454,Agg-SMT2,67,175
I-84 D,45.541952,-122.433454,Agg-SLT3,45.7,120
I-84 D,45.541952,-122.433454,Agg-SMT3,67,175
