FROM,TO,Work trips SOV,Work trips HOV,Work trips Transit,Non-work SOV,Non-work HOV,Non-work Transit,All SOV,All HOV,All Transit,Work trips All,Non-work All,All Trips
NFulton,NForsyth,1391,256,1,325,1354,1,1716,1610,2,1648,1680,3328
NFulton,Cumming,6281,1208,10,3052,10136,6,9333,11344,16,7499,13194,20693
NFulton,SForsyth,10308,1999,20,11549,32600,20,21857,34599,40,12327,44169,56496
NFulton,NHall,188,29,0,42,169,0,230,198,0,217,211,428
NFulton,Gainesville,554,105,1,85,204,0,639,309,1,660,289,949
NFulton,SHall,639,121,0,156,277,0,795,398,0,760,433,1193
NFulton,WNewton,72,18,0,16,35,1,88,53,1,90,52,142
NFulton,ENewton,4,1,0,1,5,0,5,6,0,5,6,11
NFulton,NPaulding,111,22,0,24,67,0,135,89,0,133,91,224
NFulton,WPaulding,24,3,0,7,12,0,31,15,0,27,19,46
NFulton,EPaulding,193,35,0,28,98,0,221,133,0,228,126,354
NFulton,NSpalding,3,0,0,0,0,0,3,0,0,3,0,3
NFulton,SSpalding,3,1,0,2,1,0,5,2,0,4,3,7
NFulton,WWalton,190,42,0,45,67,0,235,109,0,232,112,344
NFulton,EWalton,110,17,0,33,44,0,143,61,0,127,77,204
Roswell,NFulton,15031,2779,111,18392,47443,191,33423,50222,302,17921,66026,83947
Roswell,Roswell,22961,4056,151,47468,104236,264,70429,108292,415,27168,151968,179136
Roswell,SandySprings,6297,1093,173,5636,13403,232,11933,14496,405,7563,19271,26834
Roswell,Buckhead,1978,321,159,403,1036,37,2381,1357,196,2458,1476,3934
Roswell,NWAtlanta,291,59,18,49,131,1,340,190,19,368,181,549
Roswell,NEAtlanta,809,135,145,172,321,49,981,456,194,1089,542,1631
Roswell,SWAtlanta,187,39,24,43,87,15,230,126,39,250,145,395
Roswell,CBDAtlanta,477,89,284,68,217,75,545,306,359,850,360,1210
Roswell,SEAtlanta,148,32,9,38,84,13,186,116,22,189,135,324
Roswell,SFulton,48,16,3,15,38,0,63,54,3,67,53,120
Roswell,Tri-Cities,126,29,21,21,30,2,147,59,23,176,53,229
Roswell,Shannon,55,14,1,18,29,1,73,43,2,70,48,118
Roswell,WCherokee,119,25,0,40,165,0,159,190,0,144,205,349
Roswell,NCherokee,70,9,0,24,88,0,94,97,0,79,112,191
Roswell,ECentCherokee,1637,299,0,839,2691,2,2476,2990,2,1936,3532,5468
Roswell,Woodstock,1898,331,3,1171,3645,2,3069,3976,5,2232,4818,7050
Roswell,Airport,56,10,11,4,10,0,60,20,11,77,14,91
Roswell,NEClayton,70,23,1,20,41,1,90,64,2,94,62,156
Roswell,Riverdale,29,8,1,8,38,0,37,46,1,38,46,84
Roswell,SClayton,25,4,1,15,23,0,40,27,1,30,38,68
Roswell,NWCobb,1288,262,0,481,1257,6,1769,1519,6,1550,1744,3294
Roswell,NECobb,5187,926,10,5653,16153,24,10840,17079,34,6123,21830,27953
Roswell,SWCobb,202,46,0,52,117,0,254,163,0,248,169,417
Roswell,Marietta,769,112,2,351,745,13,1120,857,15,883,1109,1992
Roswell,Cumberland,1413,247,12,425,1184,3,1838,1431,15,1672,1612,3284
Roswell,SCobb,261,46,1,91,219,0,352,265,1,308,310,618
Roswell,Chamblee,3401,624,90,2151,6197,86,5552,6821,176,4115,8434,12549
Roswell,NWDeKalb,785,137,23,185,596,19,970,733,42,945,800,1745
Roswell,NEDeKalb,936,139,7,396,1124,24,1332,1263,31,1082,1544,2626
Roswell,Atlanta-DeKalb,58,12,9,13,23,2,71,35,11,79,38,117
Roswell,Decatur,92,14,7,28,42,9,120,56,16,113,79,192
Roswell,SWDeKalb,154,15,11,39,108,2,193,123,13,180,149,329
Roswell,SEDeKalb,179,29,4,56,115,4,235,144,8,212,175,387
Roswell,SDeKalb,118,29,0,45,102,2,163,131,2,147,149,296
Roswell,WDouglas,40,6,0,13,13,0,53,19,0,46,26,72
Roswell,EDouglas,99,19,1,21,45,0,120,64,1,119,66,185
Roswell,WFayette,5,4,0,9,4,0,14,8,0,9,13,22
Roswell,EFayette,14,4,1,11,25,0,25,29,1,19,36,55
Roswell,NGwinnett,811,158,0,243,873,0,1054,1031,0,969,1116,2085
Roswell,CentGwinnett,1927,357,5,1093,3344,6,3020,3701,11,2289,4443,6732
Roswell,EGwinnett,196,36,0,36,116,0,232,152,0,232,152,384
Roswell,Norcross,4100,789,10,3359,9309,7,7459,10098,17,4899,12675,17574
Roswell,Lilburn,363,70,2,175,634,2,538,704,4,435,811,1246
Roswell,Snellville,215,37,0,68,147,0,283,184,0,252,215,467
Roswell,NHenry,33,8,0,12,30,0,45,38,0,41,42,83
Roswell,EHenry,14,4,0,5,24,0,19,28,0,18,29,47
Roswell,SHenry,12,2,0,6,17,0,18,19,0,14,23,37
Roswell,SRockdale,21,2,0,7,24,0,28,26,0,23,31,54
Roswell,NRockdale,36,8,0,10,11,0,46,19,0,44,21,65
Roswell,NBarrow,50,9,1,13,27,0,63,36,1,60,40,100
Roswell,SBarrow,34,6,0,15,34,1,49,40,1,40,50,90
Roswell,NWBartow,21,3,0,9,39,0,30,42,0,24,48,72
Roswell,NEBartow,30,10,0,22,34,0,52,44,0,40,56,96
Roswell,SWBartow,39,8,0,15,53,0,54,61,0,47,68,115
Roswell,Cartersville,146,23,0,25,77,0,171,100,0,169,102,271
Roswell,NECarroll,1,3,0,4,36,0,5,39,0,4,40,44
Roswell,WCarroll,1,0,0,0,0,0,1,0,0,1,0,1
Roswell,CentralCarroll,3,0,0,0,3,0,3,3,0,3,3,6
Roswell,SECarroll,0,0,0,0,0,0,0,0,0,0,0,0
Roswell,WCoweta,2,1,0,1,1,0,3,2,0,3,2,5
Roswell,NCoweta,7,3,0,4,13,0,11,16,0,10,17,27
Roswell,SCoweta,1,0,0,0,0,0,1,0,0,1,0,1
Roswell,SECoweta,1,0,0,1,4,0,2,4,0,1,5,6
Roswell,NForsyth,276,55,0,82,259,0,358,314,0,331,341,672
Roswell,Cumming,1330,250,0,432,1596,3,1762,1846,3,1580,2031,3611
Roswell,SForsyth,1495,275,3,851,2920,4,2346,3195,7,1773,3775,5548
Roswell,NHall,38,6,0,10,39,0,48,45,0,44,49,93
Roswell,Gainesville,144,31,0,18,52,0,162,83,0,175,70,245
Roswell,SHall,135,22,0,27,74,0,162,96,0,157,101,258
Roswell,WNewton,28,0,0,7,32,0,35,32,0,28,39,67
Roswell,ENewton,3,2,0,1,0,0,4,2,0,5,1,6
Roswell,NPaulding,95,19,0,17,53,0,112,72,0,114,70,184
Roswell,WPaulding,12,5,0,4,35,0,16,40,0,17,39,56
Roswell,EPaulding,157,33,0,31,62,0,188,95,0,190,93,283
Roswell,NSpalding,1,0,1,0,0,0,1,0,1,2,0,2
Roswell,SSpalding,0,0,0,2,0,0,2,0,0,0,2,2
Roswell,WWalton,66,12,0,14,68,0,80,80,0,78,82,160
Roswell,EWalton,28,5,0,9,4,0,37,9,0,33,13,46
SandySprings,NFulton,6352,1105,282,2607,6219,203,8959,7324,485,7739,9029,16768
SandySprings,Roswell,6393,1103,185,5616,13637,225,12009,14740,410,7681,19478,27159
SandySprings,SandySprings,36774,5944,1100,65276,91978,1475,102050,97922,2575,43818,158729,202547
SandySprings,Buckhead,9766,1310,651,7185,13711,579,16951,15021,1230,11727,21475,33202
SandySprings,NWAtlanta,1417,236,184,436,828,69,1853,1064,253,1837,1333,3170
SandySprings,NEAtlanta,4065,585,718,1260,2068,266,5325,2653,984,5368,3594,8962
SandySprings,SWAtlanta,1287,229,338,215,410,83,1502,639,421,1854,708,2562
SandySprings,CBDAtlanta,2077,321,1133,390,735,295,2467,1056,1428,3531,1420,4951
SandySprings,SEAtlanta,968,189,224,155,257,133,1123,446,357,1381,545,1926
SandySprings,SFulton,367,75,17,79,89,7,446,164,24,459,175,634
SandySprings,Tri-Cities,661,136,129,67,118,33,728,254,162,926,218,1144
SandySprings,Shannon,372,89,69,60,110,27,432,199,96,530,197,727
SandySprings,WCherokee,93,21,0,24,85,0,117,106,0,114,109,223
SandySprings,NCherokee,51,5,0,16,55,0,67,60,0,56,71,127
SandySprings,ECentCherokee,936,152,2,246,594,5,1182,746,7,1090,845,1935
SandySprings,Woodstock,1210,223,14,317,960,10,1527,1183,24,1447,1287,2734
SandySprings,Airport,235,35,95,15,27,4,250,62,99,365,46,411
SandySprings,NEClayton,375,91,30,68,127,7,443,218,37,496,202,698
SandySprings,Riverdale,274,74,39,37,119,8,311,193,47,387,164,551
SandySprings,SClayton,229,65,13,26,35,8,255,100,21,307,69,376
SandySprings,NWCobb,1929,356,27,374,849,14,2303,1205,41,2312,1237,3549
SandySprings,NECobb,6758,1134,65,5146,11977,73,11904,13111,138,7957,17196,25153
SandySprings,SWCobb,589,99,10,128,421,5,717,520,15,698,554,1252
SandySprings,Marietta,1383,288,19,662,1318,22,2045,1606,41,1690,2002,3692
SandySprings,Cumberland,6440,1061,92,4992,8051,72,11432,9112,164,7593,13115,20708
SandySprings,SCobb,1572,313,56,520,1669,12,2092,1982,68,1941,2201,4142
SandySprings,Chamblee,15648,2637,516,21875,35557,567,37523,38194,1083,18801,57999,76800
SandySprings,NWDeKalb,2987,436,166,1046,1863,82,4033,2299,248,3589,2991,6580
SandySprings,NEDeKalb,3219,529,163,1293,2793,92,4512,3322,255,3911,4178,8089
SandySprings,Atlanta-DeKalb,465,66,84,92,92,29,557,158,113,615,213,828
SandySprings,Decatur,443,63,102,80,173,28,523,236,130,608,281,889
SandySprings,SWDeKalb,989,155,165,120,269,34,1109,424,199,1309,423,1732
SandySprings,SEDeKalb,1049,210,116,149,336,34,1198,546,150,1375,519,1894
SandySprings,SDeKalb,761,176,79,109,219,10,870,395,89,1016,338,1354
SandySprings,WDouglas,284,48,7,32,81,1,316,129,8,339,114,453
SandySprings,EDouglas,458,76,26,100,138,6,558,214,32,560,244,804
SandySprings,WFayette,78,11,3,19,63,3,97,74,6,92,85,177
SandySprings,EFayette,109,20,6,29,102,3,138,122,9,135,134,269
SandySprings,NGwinnett,1027,202,12,250,498,23,1277,700,35,1241,771,2012
SandySprings,CentGwinnett,2197,431,51,701,1573,54,2898,2004,105,2679,2328,5007
SandySprings,EGwinnett,348,97,1,75,159,2,423,256,3,446,236,682
SandySprings,Norcross,4122,807,63,2932,6652,131,7054,7459,194,4992,9715,14707
SandySprings,Lilburn,745,124,17,293,579,27,1038,703,44,886,899,1785
SandySprings,Snellville,560,109,9,136,238,10,696,347,19,678,384,1062
SandySprings,NHenry,214,44,15,32,41,4,246,85,19,273,77,350
SandySprings,EHenry,120,25,5,30,43,0,150,68,5,150,73,223
SandySprings,SHenry,128,30,6,17,70,1,145,100,7,164,88,252
SandySprings,SRockdale,149,23,10,20,58,3,169,81,13,182,81,263
SandySprings,NRockdale,160,28,11,32,52,1,192,80,12,199,85,284
SandySprings,NBarrow,74,20,0,19,35,0,93,55,0,94,54,148
SandySprings,SBarrow,86,17,0,31,46,0,117,63,0,103,77,180
SandySprings,NWBartow,35,4,0,11,13,0,46,17,0,39,24,63
SandySprings,NEBartow,39,8,0,27,13,0,66,21,0,47,40,87
SandySprings,SWBartow,73,17,0,19,101,0,92,118,0,90,120,210
SandySprings,Cartersville,202,40,0,36,156,0,238,196,0,242,192,434
SandySprings,NECarroll,50,12,0,24,23,0,74,35,0,62,47,109
SandySprings,WCarroll,0,1,0,3,2,0,3,3,0,1,5,6
SandySprings,CentralCarroll,26,5,0,7,5,0,33,10,0,31,12,43
SandySprings,SECarroll,5,0,0,1,0,0,6,0,0,5,1,6
SandySprings,WCoweta,13,5,0,5,3,0,18,8,0,18,8,26
SandySprings,NCoweta,101,27,8,18,50,1,119,77,9,136,69,205
SandySprings,SCoweta,3,1,1,0,3,0,3,4,1,5,3,8
SandySprings,SECoweta,13,4,0,2,3,0,15,7,0,17,5,22
SandySprings,NForsyth,220,38,0,62,233,2,282,271,2,258,297,555
SandySprings,Cumming,942,174,14,280,651,13,1222,825,27,1130,944,2074
SandySprings,SForsyth,889,152,15,256,639,20,1145,791,35,1056,915,1971
SandySprings,NHall,27,4,0,10,24,0,37,28,0,31,34,65
SandySprings,Gainesville,64,13,0,28,46,0,92,59,0,77,74,151
SandySprings,SHall,150,30,0,37,105,0,187,135,0,180,142,322
SandySprings,WNewton,177,25,5,22,32,1,199,57,6,207,55,262
SandySprings,ENewton,6,1,0,3,17,1,9,18,1,7,21,28
SandySprings,NPaulding,194,38,0,32,120,0,226,158,0,232,152,384
SandySprings,WPaulding,64,11,0,16,23,0,80,34,0,75,39,114
SandySprings,EPaulding,493,103,4,66,155,1,559,258,5,600,222,822
SandySprings,NSpalding,19,8,0,6,8,0,25,16,0,27,14,41
SandySprings,SSpalding,15,2,0,4,6,0,19,8,0,17,10,27
SandySprings,WWalton,126,23,0,29,57,0,155,80,0,149,86,235
SandySprings,EWalton,37,11,0,14,37,0,51,48,0,48,51,99
Buckhead,NFulton,2329,290,168,395,850,38,2724,1140,206,2787,1283,4070
Buckhead,Roswell,1991,296,173,394,1027,38,2385,1323,211,2460,1459,3919
Buckhead,SandySprings,9769,1358,654,7260,13868,630,17029,15226,1284,11781,21758,33539
Buckhead,Buckhead,31336,4380,1567,57309,75799,2019,88645,80179,3586,37283,135127,172410
Buckhead,NWAtlanta,3859,651,289,5138,8448,249,8997,9099,538,4799,13835,18634
Buckhead,NEAtlanta,9648,1376,851,13100,15443,1030,22748,16819,1881,11875,29573,41448
Buckhead,SWAtlanta,2291,436,625,1072,2037,343,3363,2473,968,3352,3452,6804
Buckhead,CBDAtlanta,4533,708,1653,2527,3983,949,7060,4691,2602,6894,7459,14353
Buckhead,SEAtlanta,1748,394,404,805,1651,326,2553,2045,730,2546,2782,5328
Buckhead,SFulton,579,127,49,156,386,4,735,513,53,755,546,1301
Buckhead,Tri-Cities,1408,292,307,283,523,120,1691,815,427,2007,926,2933
Buckhead,Shannon,685,178,159,121,319,39,806,497,198,1022,479,1501
Buckhead,WCherokee,69,10,0,16,82,0,85,92,0,79,98,177
Buckhead,NCherokee,18,3,0,14,11,0,32,14,0,21,25,46
Buckhead,ECentCherokee,420,68,2,103,351,1,523,419,3,490,455,945
Buckhead,Woodstock,710,105,8,116,342,0,826,447,8,823,458,1281
Buckhead,Airport,523,110,280,39,76,23,562,186,303,913,138,1051
Buckhead,NEClayton,849,236,63,153,592,30,1002,828,93,1148,775,1923
Buckhead,Riverdale,607,182,82,89,313,19,696,495,101,871,421,1292
Buckhead,SClayton,481,147,39,74,323,5,555,470,44,667,402,1069
Buckhead,NWCobb,1685,286,28,359,1028,13,2044,1314,41,1999,1400,3399
Buckhead,NECobb,2633,439,54,1073,2508,13,3706,2947,67,3126,3594,6720
Buckhead,SWCobb,693,131,12,168,587,8,861,718,20,836,763,1599
Buckhead,Marietta,1274,229,26,613,1254,45,1887,1483,71,1529,1912,3441
Buckhead,Cumberland,7049,1114,111,6637,10938,120,13686,12052,231,8274,17695,25969
Buckhead,SCobb,2129,400,89,1017,3005,55,3146,3405,144,2618,4077,6695
Buckhead,Chamblee,10089,1458,832,9843,19223,757,19932,20681,1589,12379,29823,42202
Buckhead,NWDeKalb,5422,868,189,6122,10116,276,11544,10984,465,6479,16514,22993
Buckhead,NEDeKalb,3412,614,302,1594,3366,178,5006,3980,480,4328,5138,9466
Buckhead,Atlanta-DeKalb,858,148,113,597,1289,75,1455,1437,188,1119,1961,3080
Buckhead,Decatur,780,116,107,407,758,83,1187,874,190,1003,1248,2251
Buckhead,SWDeKalb,1476,272,291,446,984,138,1922,1256,429,2039,1568,3607
Buckhead,SEDeKalb,1335,279,214,253,655,77,1588,934,291,1828,985,2813
Buckhead,SDeKalb,1158,240,114,239,736,33,1397,976,147,1512,1008,2520
Buckhead,WDouglas,396,77,11,80,275,2,476,352,13,484,357,841
Buckhead,EDouglas,717,114,40,207,663,13,924,777,53,871,883,1754
Buckhead,WFayette,199,36,12,36,131,2,235,167,14,247,169,416
Buckhead,EFayette,223,44,17,44,98,4,267,142,21,284,146,430
Buckhead,NGwinnett,704,150,18,141,368,4,845,518,22,872,513,1385
Buckhead,CentGwinnett,1426,320,77,298,1053,40,1724,1373,117,1823,1391,3214
Buckhead,EGwinnett,258,67,6,56,384,1,314,451,7,331,441,772
Buckhead,Norcross,2395,495,160,753,2257,95,3148,2752,255,3050,3105,6155
Buckhead,Lilburn,606,124,22,168,583,13,774,707,35,752,764,1516
Buckhead,Snellville,542,99,10,131,437,9,673,536,19,651,577,1228
Buckhead,NHenry,332,82,23,63,184,3,395,266,26,437,250,687
Buckhead,EHenry,139,35,0,24,136,1,163,171,1,174,161,335
Buckhead,SHenry,283,88,6,50,229,1,333,317,7,377,280,657
Buckhead,SRockdale,187,37,10,36,47,4,223,84,14,234,87,321
Buckhead,NRockdale,218,32,15,27,50,3,245,82,18,265,80,345
Buckhead,NBarrow,48,10,0,25,42,0,73,52,0,58,67,125
Buckhead,SBarrow,53,15,0,15,87,0,68,102,0,68,102,170
Buckhead,NWBartow,29,4,0,12,67,0,41,71,0,33,79,112
Buckhead,NEBartow,35,7,0,16,44,0,51,51,0,42,60,102
Buckhead,SWBartow,63,10,0,19,124,0,82,134,0,73,143,216
Buckhead,Cartersville,178,28,4,47,101,0,225,129,4,210,148,358
Buckhead,NECarroll,99,13,2,21,97,0,120,110,2,114,118,232
Buckhead,WCarroll,6,0,0,3,10,0,9,10,0,6,13,19
Buckhead,CentralCarroll,45,11,0,15,46,1,60,57,1,56,62,118
Buckhead,SECarroll,2,2,0,5,8,0,7,10,0,4,13,17
Buckhead,WCoweta,23,9,3,9,7,0,32,16,3,35,16,51
Buckhead,NCoweta,212,48,14,49,167,1,261,215,15,274,217,491
Buckhead,SCoweta,10,3,0,8,15,0,18,18,0,13,23,36
Buckhead,SECoweta,22,7,0,11,33,0,33,40,0,29,44,73
Buckhead,NForsyth,75,11,1,21,113,0,96,124,1,87,134,221
Buckhead,Cumming,367,50,10,88,363,4,455,413,14,427,455,882
Buckhead,SForsyth,344,58,7,69,184,5,413,242,12,409,258,667
Buckhead,NHall,9,1,0,2,13,0,11,14,0,10,15,25
Buckhead,Gainesville,36,7,0,18,80,0,54,87,0,43,98,141
Buckhead,SHall,103,15,3,26,103,0,129,118,3,121,129,250
Buckhead,WNewton,209,54,8,46,115,1,255,169,9,271,162,433
Buckhead,ENewton,15,5,0,4,30,0,19,35,0,20,34,54
Buckhead,NPaulding,153,26,0,32,178,0,185,204,0,179,210,389
Buckhead,WPaulding,45,17,0,12,113,0,57,130,0,62,125,187
Buckhead,EPaulding,506,91,14,96,300,2,602,391,16,611,398,1009
Buckhead,NSpalding,55,15,1,11,47,0,66,62,1,71,58,129
Buckhead,SSpalding,28,8,0,6,16,0,34,24,0,36,22,58
Buckhead,WWalton,101,23,1,25,98,0,126,121,1,125,123,248
Buckhead,EWalton,37,12,0,14,56,0,51,68,0,49,70,119
NWAtlanta,NFulton,352,66,34,64,126,5,416,192,39,452,195,647
NWAtlanta,Roswell,305,43,15,47,135,3,352,178,18,363,185,548
NWAtlanta,SandySprings,1465,281,209,420,776,68,1885,1057,277,1955,1264,3219
NWAtlanta,Buckhead,3677,637,303,5156,8642,272,8833,9279,575,4617,14070,18687
NWAtlanta,NWAtlanta,6355,1455,221,12798,20948,522,19153,22403,743,8031,34268,42299
NWAtlanta,NEAtlanta,4637,827,393,6918,9644,743,11555,10471,1136,5857,17305,23162
NWAtlanta,SWAtlanta,2943,700,184,4329,10298,480,7272,10998,664,3827,15107,18934
NWAtlanta,CBDAtlanta,3685,657,1037,4321,6334,1395,8006,6991,2432,5379,12050,17429
NWAtlanta,SEAtlanta,1259,271,111,1233,2267,131,2492,2538,242,1641,3631,5272
NWAtlanta,SFulton,640,113,17,340,672,8,980,785,25,770,1020,1790
NWAtlanta,Tri-Cities,1071,242,112,507,935,77,1578,1177,189,1425,1519,2944
NWAtlanta,Shannon,601,132,35,158,368,29,759,500,64,768,555,1323
NWAtlanta,WCherokee,33,8,0,5,6,0,38,14,0,41,11,52
NWAtlanta,NCherokee,10,1,0,4,17,0,14,18,0,11,21,32
NWAtlanta,ECentCherokee,127,27,0,21,93,0,148,120,0,154,114,268
NWAtlanta,Woodstock,264,53,2,42,114,0,306,167,2,319,156,475
NWAtlanta,Airport,459,86,200,87,80,22,546,166,222,745,189,934
NWAtlanta,NEClayton,580,131,21,144,356,7,724,487,28,732,507,1239
NWAtlanta,Riverdale,435,102,28,86,220,16,521,322,44,565,322,887
NWAtlanta,SClayton,324,71,7,54,153,1,378,224,8,402,208,610
NWAtlanta,NWCobb,633,150,0,121,212,0,754,362,0,783,333,1116
NWAtlanta,NECobb,696,140,6,220,536,4,916,676,10,842,760,1602
NWAtlanta,SWCobb,575,117,4,145,636,7,720,753,11,696,788,1484
NWAtlanta,Marietta,600,107,12,263,411,14,863,518,26,719,688,1407
NWAtlanta,Cumberland,3732,677,62,3299,5229,38,7031,5906,100,4471,8566,13037
NWAtlanta,SCobb,2429,477,31,2017,5113,62,4446,5590,93,2937,7192,10129
NWAtlanta,Chamblee,1492,293,198,486,930,102,1978,1223,300,1983,1518,3501
NWAtlanta,NWDeKalb,1315,246,118,864,1236,89,2179,1482,207,1679,2189,3868
NWAtlanta,NEDeKalb,877,176,87,264,450,57,1141,626,144,1140,771,1911
NWAtlanta,Atlanta-DeKalb,428,70,31,276,533,90,704,603,121,529,899,1428
NWAtlanta,Decatur,320,44,48,130,188,55,450,232,103,412,373,785
NWAtlanta,SWDeKalb,706,142,100,259,565,48,965,707,148,948,872,1820
NWAtlanta,SEDeKalb,466,96,56,78,151,30,544,247,86,618,259,877
NWAtlanta,SDeKalb,666,146,36,181,446,24,847,592,60,848,651,1499
NWAtlanta,WDouglas,516,95,1,112,269,3,628,364,4,612,384,996
NWAtlanta,EDouglas,927,145,8,342,987,15,1269,1132,23,1080,1344,2424
NWAtlanta,WFayette,188,38,2,31,92,0,219,130,2,228,123,351
NWAtlanta,EFayette,201,35,1,28,119,1,229,154,2,237,148,385
NWAtlanta,NGwinnett,186,48,2,33,80,2,219,128,4,236,115,351
NWAtlanta,CentGwinnett,378,127,8,53,173,9,431,300,17,513,235,748
NWAtlanta,EGwinnett,90,22,0,11,52,1,101,74,1,112,64,176
NWAtlanta,Norcross,502,115,25,102,254,15,604,369,40,642,371,1013
NWAtlanta,Lilburn,154,36,5,32,173,0,186,209,5,195,205,400
NWAtlanta,Snellville,157,37,2,37,122,1,194,159,3,196,160,356
NWAtlanta,NHenry,207,30,5,28,132,2,235,162,7,242,162,404
NWAtlanta,EHenry,116,11,0,13,78,0,129,89,0,127,91,218
NWAtlanta,SHenry,199,49,1,31,67,2,230,116,3,249,100,349
NWAtlanta,SRockdale,83,27,2,11,84,1,94,111,3,112,96,208
NWAtlanta,NRockdale,112,27,1,19,26,2,131,53,3,140,47,187
NWAtlanta,NBarrow,21,2,0,2,5,0,23,7,0,23,7,30
