PERSON_TYPE,PER,ORIG_PURPOSE,QUANTITY
CHILD AGE 0 TO 4,26,SCHOOL,15730
CHILD AGE 0 TO 4,26,ESCORT,2630
CHILD AGE 0 TO 4,26,PERS-BUS AND MED,6070
CHILD AGE 0 TO 4,26,SHOP,4870
CHILD AGE 0 TO 4,26,MEAL,2480
CHILD AGE 0 TO 4,26,SOC AND REC,11110
CHILD AGE 0 TO 4,27,HOME,110330
CHILD AGE 0 TO 4,27,SCHOOL,10370
CHILD AGE 0 TO 4,27,ESCORT,2080
CHILD AGE 0 TO 4,27,PERS-BUS AND MED,5540
CHILD AGE 0 TO 4,27,SHOP,4500
CHILD AGE 0 TO 4,27,MEAL,2430
CHILD AGE 0 TO 4,27,SOC AND REC,10490
CHILD AGE 0 TO 4,28,HOME,113530
CHILD AGE 0 TO 4,28,SCHOOL,9150
CHILD AGE 0 TO 4,28,ESCORT,2150
CHILD AGE 0 TO 4,28,PERS-BUS AND MED,5460
CHILD AGE 0 TO 4,28,SHOP,4050
CHILD AGE 0 TO 4,28,MEAL,2230
CHILD AGE 0 TO 4,28,SOC AND REC,10610
CHILD AGE 0 TO 4,29,HOME,116910
CHILD AGE 0 TO 4,29,SCHOOL,7590
CHILD AGE 0 TO 4,29,ESCORT,1580
CHILD AGE 0 TO 4,29,PERS-BUS AND MED,4950
CHILD AGE 0 TO 4,29,SHOP,3650
CHILD AGE 0 TO 4,29,MEAL,2110
CHILD AGE 0 TO 4,29,SOC AND REC,10180
CHILD AGE 0 TO 4,30,HOME,120470
CHILD AGE 0 TO 4,30,SCHOOL,5520
CHILD AGE 0 TO 4,30,ESCORT,1380
CHILD AGE 0 TO 4,30,PERS-BUS AND MED,4790
CHILD AGE 0 TO 4,30,SHOP,3230
CHILD AGE 0 TO 4,30,MEAL,2130
CHILD AGE 0 TO 4,30,SOC AND REC,9980
CHILD AGE 0 TO 4,31,HOME,123770
CHILD AGE 0 TO 4,31,SCHOOL,3340
CHILD AGE 0 TO 4,31,ESCORT,1250
CHILD AGE 0 TO 4,31,PERS-BUS AND MED,4290
CHILD AGE 0 TO 4,31,SHOP,2760
CHILD AGE 0 TO 4,31,MEAL,2080
CHILD AGE 0 TO 4,31,SOC AND REC,9510
CHILD AGE 0 TO 4,32,HOME,126280
CHILD AGE 0 TO 4,32,SCHOOL,2630
CHILD AGE 0 TO 4,32,ESCORT,1240
CHILD AGE 0 TO 4,32,PERS-BUS AND MED,4170
CHILD AGE 0 TO 4,32,SHOP,2740
CHILD AGE 0 TO 4,32,MEAL,1980
CHILD AGE 0 TO 4,32,SOC AND REC,9330
CHILD AGE 0 TO 4,33,HOME,128460
CHILD AGE 0 TO 4,33,SCHOOL,1840
CHILD AGE 0 TO 4,33,ESCORT,1210
CHILD AGE 0 TO 4,33,PERS-BUS AND MED,3830
CHILD AGE 0 TO 4,33,SHOP,2660
CHILD AGE 0 TO 4,33,MEAL,1840
CHILD AGE 0 TO 4,33,SOC AND REC,8890
CHILD AGE 0 TO 4,34,HOME,131140
CHILD AGE 0 TO 4,34,SCHOOL,1570
CHILD AGE 0 TO 4,34,ESCORT,880
CHILD AGE 0 TO 4,34,PERS-BUS AND MED,3330
CHILD AGE 0 TO 4,34,SHOP,2170
CHILD AGE 0 TO 4,34,MEAL,1630
CHILD AGE 0 TO 4,34,SOC AND REC,8280
CHILD AGE 0 TO 4,35,HOME,133960
CHILD AGE 0 TO 4,35,SCHOOL,1330
CHILD AGE 0 TO 4,35,ESCORT,700
CHILD AGE 0 TO 4,35,PERS-BUS AND MED,2760
CHILD AGE 0 TO 4,35,SHOP,1780
CHILD AGE 0 TO 4,35,MEAL,1470
CHILD AGE 0 TO 4,35,SOC AND REC,7380
CHILD AGE 0 TO 4,36,HOME,135660
CHILD AGE 0 TO 4,36,SCHOOL,1080
CHILD AGE 0 TO 4,36,ESCORT,630
CHILD AGE 0 TO 4,36,PERS-BUS AND MED,2330
CHILD AGE 0 TO 4,36,SHOP,1360
CHILD AGE 0 TO 4,36,MEAL,1300
CHILD AGE 0 TO 4,36,SOC AND REC,6740
CHILD AGE 0 TO 4,37,HOME,138200
CHILD AGE 0 TO 4,37,SCHOOL,780
CHILD AGE 0 TO 4,37,ESCORT,610
CHILD AGE 0 TO 4,37,PERS-BUS AND MED,2060
CHILD AGE 0 TO 4,37,SHOP,910
CHILD AGE 0 TO 4,37,MEAL,900
CHILD AGE 0 TO 4,37,SOC AND REC,5640
CHILD AGE 0 TO 4,38,HOME,140390
CHILD AGE 0 TO 4,38,SCHOOL,670
CHILD AGE 0 TO 4,38,ESCORT,490
CHILD AGE 0 TO 4,38,PERS-BUS AND MED,1710
CHILD AGE 0 TO 4,38,SHOP,700
CHILD AGE 0 TO 4,38,MEAL,830
CHILD AGE 0 TO 4,38,SOC AND REC,4940
CHILD AGE 0 TO 4,39,HOME,142230
CHILD AGE 0 TO 4,39,SCHOOL,550
CHILD AGE 0 TO 4,39,ESCORT,310
CHILD AGE 0 TO 4,39,PERS-BUS AND MED,1470
CHILD AGE 0 TO 4,39,SHOP,550
CHILD AGE 0 TO 4,39,MEAL,690
CHILD AGE 0 TO 4,39,SOC AND REC,4210
CHILD AGE 0 TO 4,40,HOME,144620
CHILD AGE 0 TO 4,40,SCHOOL,480
CHILD AGE 0 TO 4,40,ESCORT,180
CHILD AGE 0 TO 4,40,PERS-BUS AND MED,1000
CHILD AGE 0 TO 4,40,SHOP,440
CHILD AGE 0 TO 4,40,MEAL,490
CHILD AGE 0 TO 4,40,SOC AND REC,3190
CHILD AGE 0 TO 4,41,HOME,146240
CHILD AGE 0 TO 4,41,SCHOOL,360
CHILD AGE 0 TO 4,41,ESCORT,100
CHILD AGE 0 TO 4,41,PERS-BUS AND MED,770
CHILD AGE 0 TO 4,41,SHOP,260
CHILD AGE 0 TO 4,41,MEAL,370
CHILD AGE 0 TO 4,41,SOC AND REC,2320
CHILD AGE 0 TO 4,42,HOME,148020
CHILD AGE 0 TO 4,42,SCHOOL,200
CHILD AGE 0 TO 4,42,ESCORT,80
CHILD AGE 0 TO 4,42,PERS-BUS AND MED,440
CHILD AGE 0 TO 4,42,SHOP,180
CHILD AGE 0 TO 4,42,MEAL,230
CHILD AGE 0 TO 4,42,SOC AND REC,1550
CHILD AGE 0 TO 4,43,HOME,149440
CHILD AGE 0 TO 4,43,SCHOOL,10
CHILD AGE 0 TO 4,43,ESCORT,40
CHILD AGE 0 TO 4,43,PERS-BUS AND MED,190
CHILD AGE 0 TO 4,43,SHOP,110
CHILD AGE 0 TO 4,43,MEAL,70
CHILD AGE 0 TO 4,43,SOC AND REC,810
CHILD AGE 0 TO 4,44,HOME,150230
CHILD AGE 0 TO 4,44,SCHOOL,10
CHILD AGE 0 TO 4,44,ESCORT,50
CHILD AGE 0 TO 4,44,PERS-BUS AND MED,150
CHILD AGE 0 TO 4,44,SHOP,70
CHILD AGE 0 TO 4,44,MEAL,40
CHILD AGE 0 TO 4,44,SOC AND REC,560
CHILD AGE 0 TO 4,45,HOME,150540
CHILD AGE 0 TO 4,45,SCHOOL,10
CHILD AGE 0 TO 4,45,ESCORT,40
CHILD AGE 0 TO 4,45,PERS-BUS AND MED,110
CHILD AGE 0 TO 4,45,SHOP,70
CHILD AGE 0 TO 4,45,MEAL,30
CHILD AGE 0 TO 4,45,SOC AND REC,390
CHILD AGE 0 TO 4,46,HOME,150740
CHILD AGE 0 TO 4,46,SCHOOL,10
CHILD AGE 0 TO 4,46,ESCORT,20
CHILD AGE 0 TO 4,46,PERS-BUS AND MED,110
CHILD AGE 0 TO 4,46,SHOP,50
CHILD AGE 0 TO 4,46,MEAL,10
CHILD AGE 0 TO 4,46,SOC AND REC,290
CHILD AGE 0 TO 4,47,HOME,150920
CHILD AGE 0 TO 4,47,SCHOOL,10
CHILD AGE 0 TO 4,47,ESCORT,10
CHILD AGE 0 TO 4,47,PERS-BUS AND MED,100
CHILD AGE 0 TO 4,47,SHOP,40
CHILD AGE 0 TO 4,47,MEAL,10
CHILD AGE 0 TO 4,47,SOC AND REC,170
CHILD AGE 0 TO 4,48,HOME,151060
CHILD AGE 0 TO 4,48,SCHOOL,0
CHILD AGE 0 TO 4,48,ESCORT,0
CHILD AGE 0 TO 4,48,PERS-BUS AND MED,30
CHILD AGE 0 TO 4,48,SHOP,50
CHILD AGE 0 TO 4,48,MEAL,0
CHILD AGE 0 TO 4,48,SOC AND REC,90
CHILD AGE 0 TO 4,49,HOME,37690
CHILD AGE 0 TO 4,49,SCHOOL,0
CHILD AGE 0 TO 4,49,ESCORT,0
CHILD AGE 0 TO 4,49,PERS-BUS AND MED,0
CHILD AGE 0 TO 4,49,SHOP,0
CHILD AGE 0 TO 4,49,MEAL,0
CHILD AGE 0 TO 4,49,SOC AND REC,0
CHILD AGE 16 PLUS,1,HOME,80640
CHILD AGE 16 PLUS,1,WORK,0
CHILD AGE 16 PLUS,1,SCHOOL,0
CHILD AGE 16 PLUS,1,ESCORT,0
CHILD AGE 16 PLUS,1,PERS-BUS AND MED,0
CHILD AGE 16 PLUS,1,SHOP,0
CHILD AGE 16 PLUS,1,MEAL,0
CHILD AGE 16 PLUS,1,SOC AND REC,0
CHILD AGE 16 PLUS,1,CHANGE MODE,0
CHILD AGE 16 PLUS,2,HOME,80580
CHILD AGE 16 PLUS,2,WORK,0
CHILD AGE 16 PLUS,2,SCHOOL,0
CHILD AGE 16 PLUS,2,ESCORT,30
CHILD AGE 16 PLUS,2,PERS-BUS AND MED,20
CHILD AGE 16 PLUS,2,SHOP,10
CHILD AGE 16 PLUS,2,MEAL,0
CHILD AGE 16 PLUS,2,SOC AND REC,10
CHILD AGE 16 PLUS,2,CHANGE MODE,0
CHILD AGE 16 PLUS,3,HOME,80520
CHILD AGE 16 PLUS,3,WORK,0
CHILD AGE 16 PLUS,3,SCHOOL,10
CHILD AGE 16 PLUS,3,ESCORT,40
CHILD AGE 16 PLUS,3,PERS-BUS AND MED,30
CHILD AGE 16 PLUS,3,SHOP,20
CHILD AGE 16 PLUS,3,MEAL,0
CHILD AGE 16 PLUS,3,SOC AND REC,10
CHILD AGE 16 PLUS,3,CHANGE MODE,0
CHILD AGE 16 PLUS,4,HOME,80450
CHILD AGE 16 PLUS,4,WORK,0
CHILD AGE 16 PLUS,4,SCHOOL,10
CHILD AGE 16 PLUS,4,ESCORT,90
CHILD AGE 16 PLUS,4,PERS-BUS AND MED,40
CHILD AGE 16 PLUS,4,SHOP,30
CHILD AGE 16 PLUS,4,MEAL,10
CHILD AGE 16 PLUS,4,SOC AND REC,30
CHILD AGE 16 PLUS,4,CHANGE MODE,0
CHILD AGE 16 PLUS,5,HOME,80360
CHILD AGE 16 PLUS,5,WORK,0
CHILD AGE 16 PLUS,5,SCHOOL,20
CHILD AGE 16 PLUS,5,ESCORT,90
CHILD AGE 16 PLUS,5,PERS-BUS AND MED,70
CHILD AGE 16 PLUS,5,SHOP,10
CHILD AGE 16 PLUS,5,MEAL,10
CHILD AGE 16 PLUS,5,SOC AND REC,50
CHILD AGE 16 PLUS,5,CHANGE MODE,0
CHILD AGE 16 PLUS,6,HOME,80160
CHILD AGE 16 PLUS,6,WORK,0
CHILD AGE 16 PLUS,6,SCHOOL,30
CHILD AGE 16 PLUS,6,ESCORT,140
CHILD AGE 16 PLUS,6,PERS-BUS AND MED,160
CHILD AGE 16 PLUS,6,SHOP,20
CHILD AGE 16 PLUS,6,MEAL,10
CHILD AGE 16 PLUS,6,SOC AND REC,50
CHILD AGE 16 PLUS,6,CHANGE MODE,0
CHILD AGE 16 PLUS,7,HOME,79260
CHILD AGE 16 PLUS,7,WORK,10
CHILD AGE 16 PLUS,7,SCHOOL,70
CHILD AGE 16 PLUS,7,ESCORT,150
CHILD AGE 16 PLUS,7,PERS-BUS AND MED,130
CHILD AGE 16 PLUS,7,SHOP,40
CHILD AGE 16 PLUS,7,MEAL,10
CHILD AGE 16 PLUS,7,SOC AND REC,140
CHILD AGE 16 PLUS,7,CHANGE MODE,0
CHILD AGE 16 PLUS,8,HOME,76620
CHILD AGE 16 PLUS,8,WORK,20
CHILD AGE 16 PLUS,8,SCHOOL,1350
CHILD AGE 16 PLUS,8,ESCORT,570
CHILD AGE 16 PLUS,8,PERS-BUS AND MED,320
CHILD AGE 16 PLUS,8,SHOP,180
CHILD AGE 16 PLUS,8,MEAL,140
CHILD AGE 16 PLUS,8,SOC AND REC,210
CHILD AGE 16 PLUS,8,CHANGE MODE,0
CHILD AGE 16 PLUS,9,HOME,68480
CHILD AGE 16 PLUS,9,WORK,70
CHILD AGE 16 PLUS,9,SCHOOL,2830
CHILD AGE 16 PLUS,9,ESCORT,660
CHILD AGE 16 PLUS,9,PERS-BUS AND MED,460
CHILD AGE 16 PLUS,9,SHOP,250
CHILD AGE 16 PLUS,9,MEAL,120
CHILD AGE 16 PLUS,9,SOC AND REC,220
CHILD AGE 16 PLUS,9,CHANGE MODE,0
CHILD AGE 16 PLUS,10,HOME,53020
CHILD AGE 16 PLUS,10,WORK,170
CHILD AGE 16 PLUS,10,SCHOOL,20540
CHILD AGE 16 PLUS,10,ESCORT,760
CHILD AGE 16 PLUS,10,PERS-BUS AND MED,680
CHILD AGE 16 PLUS,10,SHOP,240
CHILD AGE 16 PLUS,10,MEAL,120
CHILD AGE 16 PLUS,10,SOC AND REC,420
CHILD AGE 16 PLUS,10,CHANGE MODE,0
CHILD AGE 16 PLUS,11,HOME,40260
CHILD AGE 16 PLUS,11,WORK,190
CHILD AGE 16 PLUS,11,SCHOOL,34110
CHILD AGE 16 PLUS,11,ESCORT,510
CHILD AGE 16 PLUS,11,PERS-BUS AND MED,490
CHILD AGE 16 PLUS,11,SHOP,350
CHILD AGE 16 PLUS,11,MEAL,110
CHILD AGE 16 PLUS,11,SOC AND REC,400
CHILD AGE 16 PLUS,11,CHANGE MODE,0
CHILD AGE 16 PLUS,12,HOME,28020
CHILD AGE 16 PLUS,12,WORK,250
CHILD AGE 16 PLUS,12,SCHOOL,47450
CHILD AGE 16 PLUS,12,ESCORT,530
CHILD AGE 16 PLUS,12,PERS-BUS AND MED,650
CHILD AGE 16 PLUS,12,SHOP,240
CHILD AGE 16 PLUS,12,MEAL,90
CHILD AGE 16 PLUS,12,SOC AND REC,410
CHILD AGE 16 PLUS,12,CHANGE MODE,0
CHILD AGE 16 PLUS,13,HOME,20490
CHILD AGE 16 PLUS,13,WORK,330
CHILD AGE 16 PLUS,13,SCHOOL,57800
CHILD AGE 16 PLUS,13,ESCORT,290
CHILD AGE 16 PLUS,13,PERS-BUS AND MED,600
CHILD AGE 16 PLUS,13,SHOP,290
CHILD AGE 16 PLUS,13,MEAL,100
CHILD AGE 16 PLUS,13,SOC AND REC,360
CHILD AGE 16 PLUS,13,CHANGE MODE,0
CHILD AGE 16 PLUS,14,HOME,18180
CHILD AGE 16 PLUS,14,WORK,370
CHILD AGE 16 PLUS,14,SCHOOL,60280
CHILD AGE 16 PLUS,14,ESCORT,260
CHILD AGE 16 PLUS,14,PERS-BUS AND MED,640
CHILD AGE 16 PLUS,14,SHOP,310
CHILD AGE 16 PLUS,14,MEAL,170
CHILD AGE 16 PLUS,14,SOC AND REC,470
CHILD AGE 16 PLUS,14,CHANGE MODE,0
CHILD AGE 16 PLUS,15,HOME,16830
CHILD AGE 16 PLUS,15,WORK,390
CHILD AGE 16 PLUS,15,SCHOOL,61920
CHILD AGE 16 PLUS,15,ESCORT,230
CHILD AGE 16 PLUS,15,PERS-BUS AND MED,670
CHILD AGE 16 PLUS,15,SHOP,230
CHILD AGE 16 PLUS,15,MEAL,220
CHILD AGE 16 PLUS,15,SOC AND REC,570
CHILD AGE 16 PLUS,15,CHANGE MODE,0
CHILD AGE 16 PLUS,16,HOME,16410
CHILD AGE 16 PLUS,16,WORK,440
CHILD AGE 16 PLUS,16,SCHOOL,61920
CHILD AGE 16 PLUS,16,ESCORT,230
CHILD AGE 16 PLUS,16,PERS-BUS AND MED,670
CHILD AGE 16 PLUS,16,SHOP,390
CHILD AGE 16 PLUS,16,MEAL,230
CHILD AGE 16 PLUS,16,SOC AND REC,630
CHILD AGE 16 PLUS,16,CHANGE MODE,0
CHILD AGE 16 PLUS,17,HOME,16350
CHILD AGE 16 PLUS,17,WORK,420
CHILD AGE 16 PLUS,17,SCHOOL,61590
CHILD AGE 16 PLUS,17,ESCORT,200
CHILD AGE 16 PLUS,17,PERS-BUS AND MED,830
CHILD AGE 16 PLUS,17,SHOP,440
CHILD AGE 16 PLUS,17,MEAL,340
CHILD AGE 16 PLUS,17,SOC AND REC,730
CHILD AGE 16 PLUS,17,CHANGE MODE,0
CHILD AGE 16 PLUS,18,HOME,16480
CHILD AGE 16 PLUS,18,WORK,410
CHILD AGE 16 PLUS,18,SCHOOL,60900
CHILD AGE 16 PLUS,18,ESCORT,180
CHILD AGE 16 PLUS,18,PERS-BUS AND MED,920
CHILD AGE 16 PLUS,18,SHOP,560
CHILD AGE 16 PLUS,18,MEAL,460
CHILD AGE 16 PLUS,18,SOC AND REC,830
CHILD AGE 16 PLUS,18,CHANGE MODE,0
CHILD AGE 16 PLUS,19,HOME,16870
CHILD AGE 16 PLUS,19,WORK,430
CHILD AGE 16 PLUS,19,SCHOOL,60130
CHILD AGE 16 PLUS,19,ESCORT,230
CHILD AGE 16 PLUS,19,PERS-BUS AND MED,1190
CHILD AGE 16 PLUS,19,SHOP,550
CHILD AGE 16 PLUS,19,MEAL,540
CHILD AGE 16 PLUS,19,SOC AND REC,1010
CHILD AGE 16 PLUS,19,CHANGE MODE,0
CHILD AGE 16 PLUS,20,HOME,17820
CHILD AGE 16 PLUS,20,WORK,360
CHILD AGE 16 PLUS,20,SCHOOL,58830
CHILD AGE 16 PLUS,20,ESCORT,250
CHILD AGE 16 PLUS,20,PERS-BUS AND MED,1220
CHILD AGE 16 PLUS,20,SHOP,530
CHILD AGE 16 PLUS,20,MEAL,510
CHILD AGE 16 PLUS,20,SOC AND REC,1210
CHILD AGE 16 PLUS,20,CHANGE MODE,0
CHILD AGE 16 PLUS,21,HOME,18620
CHILD AGE 16 PLUS,21,WORK,400
CHILD AGE 16 PLUS,21,SCHOOL,57350
CHILD AGE 16 PLUS,21,ESCORT,340
CHILD AGE 16 PLUS,21,PERS-BUS AND MED,1360
CHILD AGE 16 PLUS,21,SHOP,670
CHILD AGE 16 PLUS,21,MEAL,460
CHILD AGE 16 PLUS,21,SOC AND REC,1300
CHILD AGE 16 PLUS,21,CHANGE MODE,0
